zip_code,latino_percentage,non_white_latino_percentage,median_income
33184,0.941703006655956,0.035942162038099634,20776
33134,0.7904631814230721,0.032683471998013136,33059
33145,0.8391886171979293,0.058574544980952714,25533
33183,0.8644247787610619,0.03158611300204217,28070
33126,0.9547993809685578,0.03412222096402828,20013
33129,0.6828363636363637,0.022109090909090967,49814
33130,0.8268487069980159,0.06090056158993851,21636
33155,0.8493682562155437,0.030804213055323215,28664
33165,0.908620257246247,0.029074558417828023,21675
33030,0.7217800186952951,0.13222672294139315,19396
33141,0.6643783946891973,0.2096157714745524,27267
33166,0.7708453133985049,0.041074509159615635,25831
33176,0.6254589963280294,0.04936123011015914,30890
33177,0.7729722212564754,0.07523554566630741,25215
33178,0.8499980845113588,0.03321457303758191,31951
33014,0.9005581528480107,0.06235092071367232,21866
33015,0.8525695405634683,0.09054784122873605,23843
33016,0.9465957446808511,0.06257253384912964,21507
33055,0.656287454443167,0.07281755252794553,21339
33173,0.7981504427453232,0.07380096104445588,30182
33174,0.8711158910560125,0.029968316716565413,21592
33187,0.7342202970297029,0.0811159240924092,30617
33193,0.8927378547570951,0.036960739214784266,26202
33032,0.6614141817093847,0.08054253515508136,24300
33149,0.6938885884261763,0.027350691493471357,59033
33172,0.9327659378171418,0.03413599040501891,23571
33175,0.9250018744845168,0.025867886331258916,24750
33190,0.672508825168762,0.052827150554282554,27261
33010,0.9531671307960925,0.0987048578879901,17141
33185,0.9034089097228866,0.08099748078701485,32713
33182,0.849340639489372,0.030709941590895462,28615
33039,0.8928571428571429,0.0,30905
33101,inf,,-666666666
33855,inf,,-666666666
33142,0.6392598987693193,0.15164288253516833,16886
33144,0.9397151035986914,0.04992502726281356,20990
33189,0.6161751917147601,0.06715945924579025,26919
33945,inf,,-666666666
33013,0.9624747729566094,0.033047426841574135,17334
33033,0.7260341965187328,0.08061341503072217,21862
33125,0.9150533062986461,0.07145660278631705,15807
34758,0.6101105625478062,0.1337644577335837,21797
33848,0.7485322896281801,0.25538160469667326,20778
33930,0.7580645161290323,0.0,-666666666
32948,0.652432575356954,0.06173982020095181,21419
34741,0.6756864389016978,0.18191154894152173,21673
34101,inf,,-666666666
34445,inf,,-666666666
32830,1.0,0.0,-666666666
32822,0.6301813471502591,0.0984455958549223,21350
32824,0.6094832408244052,0.13704229594251544,26482
32356,inf,,-666666666
32190,0.6210847975553858,0.38197097020626436,18672
32432,inf,,-666666666
33012,0.9621417348431489,0.052608766321720735,17130
33018,0.9526385742900466,0.06160729328516068,25009
33194,0.6876624180175721,0.06682341294394256,37022
33135,0.9518756423432683,0.06849948612538548,17261
33122,0.6536585365853659,0.11707317073170731,50089
33128,0.9081581581581581,0.06569069069069067,14908
33143,0.6119912416280268,0.022507727975270453,35954
33186,0.6769221796124291,0.048672372814627884,32270
33196,0.7981224197409844,0.1098648368427998,31215
34116,0.6239649968153748,0.04344936445958292,24823
34142,0.6839588655269535,0.05204034846400729,17621
34743,0.7488971158748808,0.21182025759826195,21164
32399,inf,,-666666666
33614,0.6677130044843049,0.12637586628618014,21343
