zip_code,black_percentage,median_income
33311,0.8356578549551089,19546
33150,0.7370497774180493,20970
33167,0.6657273345641823,20660
33056,0.8038493492107449,21752
33147,0.6079563280416641,17687
33161,0.6272047033671834,22153
33168,0.687604873422339,20946
33313,0.7848095222940072,21107
33712,0.6800468914221036,26088
33407,0.6075877151278882,22989
33169,0.8100706289338394,24535
33404,0.6974675346808002,22890
33476,0.6641606954070246,16457
32805,0.7583562513221916,17466
32426,0.6535626535626535,16454
32808,0.6983859270378303,20500
32206,0.6980720034941037,19924
32818,0.6518780714113888,21967
32352,0.7012487992315082,25811
32641,0.6890166454976937,20349
32208,0.8017898252326449,20659
32209,0.9257976820718272,18521
32332,0.8700092850510678,15104
32447,0.7672955974842768,-666666666
32970,1.0,12796
32343,0.8758149642968023,33365
34268,1.0,14000
33054,0.6637418624398528,19318
