zip_code,white_percentage,median_income
55024,0.8980264084011375,45398
55025,0.8923180008671318,40447
55026,0.9362244897959184,40078
55036,0.9634146341463414,16429
55038,0.9362195762563474,49576
55053,0.9922928709055876,38036
55065,0.9843871975019516,40912
55066,0.9044805514524864,31876
55072,0.7785808147174771,19787
55085,0.9698795180722892,38077
55089,0.8792605430387059,40172
55092,0.9742379918844956,39185
55110,0.924752819595568,41682
55307,0.9666187050359712,30000
55113,0.7563381293241723,38173
55118,0.8063069425806907,36621
55127,0.8715353224866182,47908
55150,0.9333333333333332,32917
55320,0.9709026128266032,37500
55324,0.9707846410684474,37260
55331,0.9503135043995996,55569
55342,0.9182968929804372,33689
55785,0.9551569506726456,21111
55792,0.9337422079227832,26029
55733,0.9852166869177804,43912
55735,0.9623307828134195,24976
55736,0.9792130660727544,26304
55756,0.9632352941176472,29726
55757,0.9535558780841801,29474
55783,0.9686971235194586,31250
55786,0.9036144578313252,31750
55803,0.944920440636475,37600
55808,0.893467852257182,27488
55918,0.9747292418772564,32083
55926,0.9937106918238994,35556
55927,0.9001156069364162,34368
55934,0.9526462395543176,44123
55944,0.962588749317313,41431
55946,0.9612146722790138,33444
55975,0.9519253208868144,32681
55449,0.8186046511627907,52213
55601,1.0,45500
55602,0.9631901840490796,26477
55613,0.9382022471910112,32188
55708,0.9589041095890408,25250
55712,0.9534510433386838,20526
55726,0.995159728944821,30357
55741,0.9750068662455368,35395
55744,0.9581295245548817,29553
55751,0.9432234432234432,34375
55102,0.7931090001610047,35174
55108,0.7675846786957898,36657
55112,0.7759134082462127,35244
55304,0.9091772791590864,46508
55322,0.9036353144835544,43117
55325,0.966304347826087,34139
55330,0.9309693771984274,42279
55340,0.8746902654867257,62434
55343,0.7163398692810458,41283
55301,0.9034194918356888,48735
55077,0.8092620481927709,41948
55109,0.6661297879817266,34697
55124,0.7835088581746678,42287
55311,0.825869349877483,57460
55312,0.9344594594594594,32750
55321,0.9352075963507728,30994
55334,0.9018453082057324,32163
55346,0.8617881237464292,54138
55368,0.9789332138054684,38861
55371,0.9677094442469488,33648
55409,0.7190172731846386,39985
