zip_code,white_percentage,median_income
83669,0.9518344478583048,31565
83849,0.8663438256658595,22863
83654,0.9535623409669212,31502
83808,0.9568345323741008,18125
83629,0.9439696106362772,30184
83645,0.9938347718865598,21987
83648,0.7630442007311399,26949
83660,0.8145982963086688,25430
83677,1.0,11693
83686,0.8890159482142492,26461
83801,0.947872899159664,25524
83810,0.978827361563518,29063
83827,1.0,22188
83830,0.8885869565217391,11954
83832,0.9303329223181258,35352
83836,0.992239467849224,28157
83841,1.0,24176
83843,0.9144741717927816,21872
83846,0.9457013574660632,23882
83239,0.9483870967741936,28487
83241,0.9376325837929572,25448
83252,0.9788164862997928,24206
83255,0.9568288854003141,31607
83287,0.9746835443037974,50417
83318,0.9206535794051958,25028
83320,0.9532019704433498,30065
83333,0.9551884459392621,31516
83334,0.9294062646096308,26783
83446,1.0,18125
83451,0.9919786096256684,25435
83854,0.9363318715850198,28107
83283,1.0,-666666666
83325,0.8175355450236966,25511
83539,0.9600367478180984,23171
83327,0.996842105263158,25640
83340,0.941607284243864,32167
83301,0.9073421695151728,26478
83336,0.929605501266739,28814
83346,0.9263833992094862,24960
83421,1.0,36750
83422,0.9140534262485482,34538
83428,0.9878640776699028,27313
83434,0.9511059371362048,28832
83448,0.9686555891238672,19855
83464,0.9823232323232324,25302
83466,1.0,23017
83501,0.9433157834496968,29770
83670,1.0,13466
83804,0.9126941617568292,21370
83834,0.9685534591194968,-666666666
83705,0.8705167592944182,28122
83812,1.0,17813
83813,0.9892058596761758,31667
83815,0.9317910192931534,29061
83833,0.9723233794610342,32426
83842,1.0,18654
83847,0.951706374758532,27267
83861,0.966606225445754,25851
83868,0.9354430379746836,18125
83870,0.6564885496183206,22381
83872,0.9562764456981664,51957
83806,0.95985401459854,23750
83809,1.0,47132
83811,0.9440184049079756,15337
83850,0.9597388465723612,20238
83867,0.9978118161925602,-666666666
83873,0.9401555954518253,18115
83821,0.9404761904761904,49327
83823,0.9741813602015114,30326
83535,0.8009991673605329,28750
83552,0.9592326139088728,17247
83553,0.9484536082474226,19890
83601,1.0,-666666666
83607,0.8841861524445794,25811
83623,0.9492273730684326,16986
83709,0.8927745714236783,35654
83713,0.8908402775472262,30995
83714,0.9489809165260288,33139
83716,0.8480050302961015,44131
83802,0.8258706467661692,-666666666
83803,0.9501061571125266,25786
83822,0.9012282497441146,15410
83864,0.9514117583544782,25932
83839,0.982839313572543,23715
83851,0.6272869837950863,22449
83452,0.6899441340782123,31792
83522,0.9419467481449147,21431
83541,0.9421319796954316,30721
83549,0.9883211678832116,24091
83617,0.8934372543882629,22718
83622,0.9565404475043028,26605
83631,0.9702176403207332,25958
83641,0.8795997417688831,25957
83651,0.7867315039944425,23954
83655,0.9186357556843512,26504
83703,0.8976248010844581,33166
83350,0.9348934198331788,22129
83433,1.0,-666666666
83442,0.9076077239406399,29877
83226,0.9498069498069498,17293
83639,0.8352256186317322,24523
83211,0.8180357142857143,27725
83445,0.9355402873204248,23142
83450,0.9405520169851379,23194
83462,1.0,16184
83530,0.9399818676337262,22459
83542,1.0,16985
83545,0.8863049095607235,21750
83548,0.9302325581395348,30179
83554,0.9860724233983288,14907
83602,1.0,-666666666
83605,0.7095780852383294,23064
83218,0.9392971246006391,21786
83246,0.9425173439048564,36111
83263,0.9413778792280556,21730
83281,1.0,-666666666
83285,0.8130841121495327,-666666666
83286,0.9906340057636888,29138
83323,0.9778018408229562,31069
83328,0.9580991313234544,26180
83349,0.9221556886227544,24837
83423,0.8968824940047961,22500
83401,0.8775790292328103,25374
83402,0.8686983303614848,25504
83420,0.9495575221238938,22121
83431,0.9276923076923076,26579
83465,0.8203125,37500
83523,0.9477521263669502,26136
83555,0.8937007874015748,25100
83628,0.7649330002271179,21068
83637,0.9351351351351352,16429
83657,0.972972972972973,-666666666
83672,0.8544668587896254,20663
83805,0.9351724137931036,23823
83202,0.8245575416042971,27378
83204,0.9130110335269976,23532
83214,0.8112094395280236,30990
83223,0.9915966386554622,26250
83261,0.8866459627329193,22457
83271,0.994296577946768,25833
83210,0.6616331096196868,22220
83212,1.0,29167
83227,0.8125,-666666666
83251,0.9413243922883489,18821
83253,0.6987951807228916,31382
83276,0.961425127243504,24872
83302,0.99645390070922,22849
83312,1.0,19792
83314,0.9525222551928784,27760
83324,0.9757961783439492,25341
83524,0.8176100628930818,24769
83533,1.0,46250
83536,0.8324108921850786,20288
83537,0.9207650273224044,31208
83546,0.977391304347826,28854
83547,0.9573333333333334,20671
83619,0.8490251410979991,30000
83626,0.9133079847908744,23969
83633,0.7870879120879121,24044
83634,0.9177069530650672,30523
83612,0.9641930461857809,22245
83215,0.9534883720930232,20000
83220,0.9635036496350364,28250
83835,0.9603375916616704,31192
83837,0.9354634609300854,22319
83845,0.9616834170854272,29688
83848,1.0,26103
83858,0.9530991472572228,30685
83860,0.9638633377135348,31139
83869,0.9532838154808444,25293
83676,0.7462977396726422,24233
83704,0.8915096684396282,28737
83404,0.9129339658284706,30408
83424,1.0,-666666666
83435,0.8761329305135952,30750
83443,0.9890590809628008,21620
83449,1.0,35066
83469,1.0,-666666666
83525,0.8640483383685801,18438
83526,0.9894459102902374,25385
83543,0.9124365482233504,30069
83615,1.0,33659
83627,0.8580968280467446,22917
83656,0.8042553191489362,22174
83661,0.8985011568252691,25084
83311,0.9887869520897044,30227
83332,0.9197388632872504,24810
83335,0.9244712990936556,23608
83341,0.9723473473473474,25235
83342,0.939034716342083,16677
83347,0.9683844451470124,26132
83348,1.0,-666666666
83353,0.9644787644787643,27713
83425,0.9123134328358208,23083
83427,0.992,35230
83444,0.8939857288481141,20426
83455,0.9416838552409524,34599
83463,1.0,-666666666
83702,0.9198243688254664,38601
83262,1.0,21148
83209,0.751131221719457,7463
83233,1.0,-666666666
83454,1.0,23295
83460,0.7239263803680982,3453
83636,0.8978978978978979,30792
83646,0.9075768238329814,37220
83825,0.9485981308411215,34250
83840,1.0,19659
83844,0.869034994697773,3841
83706,0.900802334062728,26492
83814,0.9492211131276468,27149
83228,0.9626749611197511,23313
83313,0.9215101838052656,31632
83406,0.9278091985913991,30814
83520,0.9605734767025088,21750
83644,0.9348275313940551,31466
83316,0.9074642126789366,24728
83436,0.9766606822262118,27431
83238,0.8023255813953488,31900
83642,0.9177581018769078,34454
83647,0.8580536912751678,28197
83650,0.6907894736842105,22379
83666,1.0,37143
83671,1.0,-666666666
83687,0.8652337086318662,24935
83712,0.9182228606607841,44309
83855,0.9219234746639091,25843
83857,0.9298245614035088,39432
83874,1.0,-666666666
83221,0.8296846011131725,25128
83236,0.9009083402146986,25398
83243,1.0,-666666666
83244,0.9966666666666668,26838
83274,0.9159655136594992,24958
83330,0.926572886072036,25510
83338,0.9393967866203138,24843
83344,0.9529326574945692,30429
83352,0.9228385497365976,24125
83871,0.9630423138725228,34612
83852,0.8711162255466053,21900
83856,0.9518189167340341,25758
83866,1.0,13041
83217,0.9680196801968021,26944
83234,0.9322033898305084,24681
83254,0.9487811558477128,24734
83272,0.9342105263157896,47708
83277,0.9726027397260274,48056
83278,0.8970976253298153,45528
83321,0.9493670886075948,24712
83322,1.0,-666666666
83337,1.0,61625
83355,0.9333333333333332,24245
83429,0.978805394990366,28661
83440,0.9261908011464448,12958
83467,0.9420336269015211,22448
83468,1.0,29833
83544,0.9128254892447032,25988
83604,0.8639846743295019,30515
83610,0.9931818181818182,23523
83611,0.9725548902195608,22412
83616,0.9329926381245086,40188
83624,0.8597997138769671,25893
83632,0.8984375,30972
83638,0.9881850533807828,25955
83643,1.0,19107
83201,0.8839401651690646,23615
83213,0.9977611940298508,17727
83232,0.8955223880597015,27500
83237,0.9443231441048034,25223
83245,0.9775231379462318,29950
83250,0.9976918638199652,35861
