zip_code,black_percentage,median_income
60429,0.8347233253905216,29758
60461,0.7427905004240882,50408
60466,0.6589985850563695,31456
60471,0.8641230150176044,35368
60472,0.8682707993474714,17500
60428,0.7857142857142857,25576
60484,0.8531838704655146,28133
60425,0.6909070346075549,32151
60473,0.8261046722202101,29779
60624,0.9068267797775994,16725
60653,0.8932557157507389,22439
60958,0.7723815096547688,18897
60628,0.9312571979954556,22201
60409,0.7448851546729227,25747
60426,0.6872363420841614,20605
60620,0.9569346191903828,22018
60637,0.7543551797040169,19996
60644,0.8882187546951128,17635
60649,0.9344241202581862,23829
60827,0.9025383562124776,23303
60619,0.9571944385446108,23305
60621,0.949996430865872,15672
60636,0.8799293898214762,18780
60643,0.7255712152514984,33387
60478,0.8974894149919495,31334
62205,0.944737180311014,18864
62914,0.6387368421052632,18362
62090,0.94636556104446,20041
62203,0.9389194358116184,19631
62201,0.6375310083175252,16042
62204,0.9401204967416698,18456
62964,0.646404109589041,20809
62059,0.9440389294403893,16170
60419,0.9281957568193974,24491
60443,0.7394451145958987,38414
60155,0.7658284977433913,29136
60104,0.7470905628438426,27269
60153,0.6860632793281873,25696
62207,0.9477447744774478,15446
61027,0.6986301369863014,-666666666
