zip_code,latino_percentage,non_white_latino_percentage,median_income
60632,0.8289504434824221,0.38920729603703663,24267
60804,0.8962892829831397,0.618015852785162,25915
60164,0.640663274919917,0.22762389297154695,30249
60165,0.8994687372292604,0.45198201879852884,26135
60623,0.6678026155530676,0.3168190150461966,20614
60629,0.7163475083841533,0.35543356751401906,23671
60505,0.7550651714262774,0.3752241522361695,25141
60639,0.7797492177225522,0.3887918915241939,23463
60160,0.7527078625418842,0.3500350658458661,26893
60501,0.7249452585480882,0.2522317668856324,25631
62279,inf,,-666666666
61322,0.6221111805121798,0.19050593379138037,27654
62962,inf,,-666666666
60402,0.6410736975857687,0.3752382465057179,30910
60085,0.6133521923620934,0.2641442715700142,23918
