zip_code,native_percentage,median_income
99591,0.8684210526315791,25625
99626,0.9444444444444444,8750
99784,0.903846153846154,21458
99589,0.8791208791208791,11042
99602,0.9090909090909092,12500
99625,0.9850746268656716,16667
99651,1.0,14583
99551,0.9389179755671904,10170
99563,0.8775313404050145,11921
99575,0.84,11875
99578,0.9963570127504554,10298
99580,0.9615384615384616,14375
99606,0.860655737704918,16023
99607,0.8644067796610171,10694
99621,0.9836867862969004,8563
99628,0.7939972714870396,18821
99636,0.8974358974358975,15804
99647,0.7096774193548387,13750
99648,0.9690721649484536,9444
99677,0.7945205479452054,12500
99724,1.0,14688
99752,0.6752669039145908,33750
99770,0.9457070707070708,6417
99774,1.0,2499
99786,0.8269230769230769,14306
99791,0.9691358024691358,20000
99632,0.8137755102040817,15223
99649,0.6454545454545455,28750
99650,0.9877835951134379,10688
99736,0.951048951048951,16875
99740,0.7896613190730838,18889
99745,0.8888888888888888,13500
99747,0.8651685393258427,26875
99748,0.7444444444444445,21250
99750,0.9238653001464128,15500
99751,0.9642857142857144,16500
99766,0.7704402515723271,19808
99922,0.7222222222222222,15625
99746,0.9051490514905148,15486
99830,0.67008547008547,16500
99547,0.8604651162790697,21667
99558,0.9523809523809524,14625
99643,0.6060606060606061,11313
99655,0.797945205479452,-666666666
99666,0.9683544303797468,9643
99720,0.8008849557522124,11818
99727,0.96,9667
99723,0.6008525914292124,33615
99758,0.9096045197740112,14107
99788,0.7247706422018348,20089
99772,0.9116465863453816,11719
99783,0.9891304347826086,15750
99785,0.9140625,9813
99789,0.7641129032258065,38529
99552,0.9553805774278216,13173
99554,0.990159901599016,9205
99555,0.7765363128491619,24375
99557,0.7871428571428571,19722
99585,1.0,7679
99614,0.980430528375734,10909
99620,0.981242672919109,9360
99622,0.987468671679198,13462
99638,0.7142857142857143,18750
99657,0.603112840466926,8906
99662,0.971900826446281,10250
99665,0.8032786885245902,25625
99668,0.8404255319148937,16500
99670,0.8913043478260869,19167
99678,0.8129251700680272,16536
99753,0.972508591065292,16944
99749,0.921875,14205
99769,0.9569230769230768,8406
99778,0.773109243697479,18990
99782,0.8704453441295547,23750
99569,0.8181818181818182,-666666666
99548,0.9183673469387756,14688
99565,0.6521739130434783,23750
99583,0.8035714285714286,54500
99733,0.828125,15833
99763,0.9213483146067416,11071
99773,0.9349315068493149,16250
99781,0.9520000000000001,8375
99721,0.7108433734939759,-666666666
99722,0.827027027027027,10833
99739,0.9776119402985076,14583
99742,0.9712351945854484,10125
99759,0.8854625550660793,15625
99761,0.9879518072289156,11625
99765,0.9745762711864406,14135
99767,0.7719298245614035,24375
99771,0.97682119205298,19514
99581,0.9642032332563509,13546
99634,0.9725,10268
99640,0.7753623188405797,15625
99641,0.9787878787878788,11116
99656,0.6521739130434783,-666666666
99659,0.9672131147540984,12321
99660,0.8253164556962025,32000
99680,0.988148148148148,8616
99682,0.6140684410646388,-666666666
99690,0.9371428571428572,8819
99609,0.9907918968692451,7717
99549,0.8181818181818182,21500
99768,0.772972972972973,14773
99926,0.747279322853688,21786
99754,0.9655172413793104,17188
99559,0.6983581519663994,24507
99777,0.8177570093457944,20208
99561,0.9875776397515528,11008
99576,0.6122448979591837,34069
99590,0.9125683060109291,11023
99604,0.894829097283085,9909
99776,0.8627450980392157,14327
99691,0.8811188811188811,10625
99630,0.9879032258064516,15446
99637,0.934065934065934,8839
99658,0.9212860310421286,15417
99671,0.8926829268292683,13403
99679,0.8589341692789969,11389
99681,0.9201995012468828,9000
99684,0.6044880785413744,23339
