zip_code,black_percentage,median_income
44320,0.6864288024145737,22808
44510,0.7207987942727958,12158
44104,0.9519531644291916,16314
44108,0.8934117647058823,19917
44120,0.7004756174431265,24424
44105,0.7200195923698604,18718
44115,0.6573106283029947,13319
44117,0.7139639639639641,23785
45417,0.7658653026427963,17326
45426,0.7370551746653607,22284
45384,0.6084172003659652,4339
45225,0.7529348411416262,13171
44110,0.7907926995369109,16402
44137,0.7399946756588872,25643
44146,0.6156626506024097,31061
44128,0.9146349909959828,23525
44123,0.6035951359924807,27051
44704,0.6354792560801145,15851
44103,0.7705483749529427,14758
44307,0.8262903477311709,17759
44112,0.9027970091387428,17149
45207,0.6578605456907752,16124
45237,0.7326249282021826,22947
45402,0.665016501650165,19384
45416,0.7526595744680851,24630
45405,0.6376466384803192,19888
43607,0.6347463316390141,17274
45232,0.7517367938130817,17209
45214,0.6830905636478785,17088
45406,0.7780299123259412,20262
45203,0.6911898274296094,18241
45229,0.7304063011775715,18879
43608,0.6104189485213581,16459
43219,0.7074136044790527,22534
43610,0.6866741321388578,17928
43227,0.6389999184272779,22947
43203,0.6675817319690541,20264
43211,0.6076763664623089,16976
