zip_code,black_percentage,median_income
71256,0.6092307692307692,21875
71302,0.829733163913596,18906
71052,0.6996230479267636,19067
71109,0.9081252234308768,15384
71223,0.7541436464088398,17353
70780,0.7467576791808874,27640
70601,0.6721347676582857,21899
70714,0.7164778578784758,29817
70787,0.7604790419161677,-666666666
70805,0.9358351729212656,15492
70465,0.977671451355662,13981
70501,0.7167019695867978,15691
71021,0.9197707736389684,12104
71358,0.7190184049079754,14804
71414,0.8839285714285714,12386
70819,0.6789515175404021,35925
71452,0.8081395348837209,21250
70721,0.7744994731296101,-666666666
70723,0.6852487135506004,21938
70113,0.7491595552107577,16374
70346,0.6659078970407984,19692
70039,0.7021354933726067,23025
70128,0.8730739500128832,26465
70812,0.9373623684854416,20919
71048,0.6440677966101694,55787
71108,0.8676438296003514,17853
70114,0.7379807692307693,20325
70131,0.6576633544113218,29480
70514,0.6017167381974249,28427
70760,0.6439453431757499,22500
70789,0.6576402321083172,25000
70802,0.7712101910828025,15318
70807,0.9582056283087212,17196
70814,0.8320369826827121,28094
70040,0.7006048387096774,15977
70117,0.6664701330287062,22049
70125,0.6025573285427455,22627
70127,0.9437284724641046,19965
70122,0.7826588081204977,25364
70126,0.9217682282493836,19153
70050,0.6470588235294118,-666666666
70076,0.8867924528301887,27315
70082,1.0,8357
70086,0.9094219390077378,21340
70811,0.8743792404000841,20947
70747,0.6145251396648045,13750
70340,1.0,-666666666
71202,0.8556850807706943,14908
71245,0.90970894412577,18174
71254,0.7518552875695733,17586
71282,0.677871686515559,17717
71345,1.0,-666666666
71375,0.6723716381418093,14263
71001,0.6515934539190353,20130
71119,0.6150671700763894,29521
71101,0.7407747664982391,13187
71377,1.0,25216
71103,0.8548612187936114,13426
70436,0.9493670886075948,18107
70049,0.9193277310924368,19602
70640,0.6593406593406593,16316
70712,0.6142857142857143,19430
