zip_code,black_percentage,median_income
24539,0.7,34038
23307,0.6519886363636364,24262
23222,0.7730780537997942,23312
23115,0.9591836734693876,-666666666
23357,0.6693440428380187,31059
23661,0.6383078364033719,27881
23025,0.7765363128491619,26200
23887,0.6579804560260586,37399
23177,0.6671686746987951,35923
23224,0.6315296206777488,22979
23231,0.6068810852204354,31686
20118,1.0,-666666666
22529,0.8051948051948052,13106
22432,0.7427385892116183,-666666666
24581,1.0,-666666666
24017,0.6216718004979113,21045
23416,0.7289156626506024,-666666666
23420,0.6293126504412945,20281
23488,0.9043715846994536,23569
23504,0.8366909558508359,15925
23847,0.6178660049627791,17350
23856,0.7045203969128997,24674
23523,0.8826874752016929,21417
23803,0.6048655301542409,24927
22438,0.6145251396648045,27361
22538,0.8264462809917356,22375
23223,0.7616280181230763,26278
23704,0.6884947703501592,25163
23844,0.630718954248366,28654
23889,0.7272727272727273,22064
23607,0.788182251701565,20983
23414,0.7241379310344828,34549
23806,0.9548780487804878,3166
23884,0.7105263157894737,18125
23891,0.6865530303030303,3096
22436,0.75,25938
