zip_code,white_percentage,median_income
58353,1.0,44500
58361,0.99581589958159,29097
58372,1.0,30938
58386,1.0,42813
58401,0.926951553664082,31820
58431,1.0,41181
58433,0.9648814749780508,33295
58454,0.9598765432098766,30192
58532,0.915824915824916,40313
58542,1.0,22750
58576,0.9739583333333334,34135
58581,0.9921259842519684,31471
58634,1.0,32279
58636,0.7024630541871921,35781
58638,0.9669051878354205,32045
58651,1.0,41387
58716,0.9230769230769232,20000
58756,0.9405405405405406,36964
58759,0.9584859584859584,41354
58761,0.9851598173515982,36473
58768,0.9552238805970148,52000
58778,1.0,21786
58785,0.9303525365434222,36739
58795,0.8661971830985915,25556
58844,0.9759036144578314,20865
58571,0.9791271347248576,36985
58573,0.986842105263158,32431
58620,0.8939393939393939,30714
58655,0.9090909090909092,41875
58621,0.9074759437453738,32948
58626,0.9046511627906976,29205
58653,0.9680306905370843,38450
58704,0.7451022146507666,30901
58744,1.0,41429
58752,0.9725490196078432,41429
58776,0.7235023041474654,24265
58790,0.9608482871125612,40097
58030,0.9817880794701986,33333
58038,0.9813084112149532,38864
58041,0.928665785997358,32621
58064,0.9578544061302682,39306
58079,1.0,45417
58081,0.9519112207151664,42500
58214,0.8808777429467085,34583
58230,1.0,37679
58243,0.9458646616541352,34457
58730,0.9330110497237568,36026
58733,0.9914772727272728,45139
58736,0.9698492462311558,33036
58063,1.0,28393
58102,0.8727929509469633,25812
58204,0.729431721798134,31528
58212,0.9470588235294116,30750
58220,0.9620253164556962,31864
58229,0.8227848101265823,21607
58250,0.9837837837837838,31250
58267,0.9848484848484848,32262
58271,0.9838420107719928,37917
58321,1.0,14063
58323,1.0,36563
58341,0.9653333333333334,31250
58345,1.0,39167
58382,0.9108280254777071,53021
58413,0.9715489989462592,28800
58421,0.9513711151736746,35188
58423,1.0,35417
58428,0.8226600985221675,34063
58429,1.0,27188
58440,0.9830508474576272,41786
58443,1.0,46875
58474,0.9789356984478936,37582
58492,0.9543269230769232,37212
58496,1.0,31607
58552,0.9365466748017084,30401
58554,0.9021831040049196,39181
58559,0.9590163934426228,50391
58231,0.9787234042553192,35298
58239,1.0,-666666666
58258,0.9731343283582088,44432
58278,0.9667003027245208,46157
58355,1.0,28125
58845,0.9238845144356956,37500
58004,0.9896551724137932,40000
58257,0.9106302916274694,26689
58240,0.9364161849710982,36184
58244,0.99009900990099,44375
58256,0.95593635250918,42260
58260,0.9832402234636872,26471
58261,0.9409171075837742,33466
58311,1.0,53125
58324,0.9153166421207658,34228
58351,0.9090909090909092,38917
58363,1.0,92875
58033,0.986784140969163,37578
58040,0.9043103448275862,45357
58042,0.9516837481698388,52426
58057,1.0,-666666666
58078,0.899000555247085,42597
58227,0.9243027888446216,38355
58228,0.8849252013808976,35161
58011,0.9775,37788
58013,0.9808917197452228,26705
58029,1.0,34464
58031,0.9846827133479212,38304
58035,1.0,45917
58043,0.9245283018867924,40313
58052,0.9842381786339754,44853
58056,1.0,36250
58059,0.9123045547246772,45102
58425,0.9481065918653576,33065
58426,1.0,45357
58442,0.9833729216152018,27125
58445,1.0,27083
58451,1.0,50833
58456,0.9613152804642168,40313
58577,0.9394444444444444,43728
58579,0.9559043348281016,40677
58656,0.92570281124498,44632
58710,0.9960629921259844,28611
58713,1.0,34688
58718,0.9768844221105528,42143
58721,0.9686192468619248,44167
58737,0.9836956521739132,-666666666
58740,0.9671302149178256,42167
58476,0.9828326180257512,48333
58365,0.9504504504504504,30855
58368,0.9314991577765301,27772
58385,1.0,35000
58415,1.0,42589
58420,0.9774919614147909,40625
58422,0.9696969696969696,39688
58444,1.0,43929
58448,0.9710610932475884,32455
58464,1.0,47500
58478,1.0,30000
58479,1.0,36534
58480,0.9779874213836478,35357
58251,0.8995943204868154,39115
58741,0.9622047244094488,38155
58750,0.9747081712062255,44821
58769,0.984375,40642
58781,0.9737171464330412,43125
58784,0.9010770975056688,41052
58787,0.7843137254901961,48000
58830,1.0,32375
58833,0.9908675799086758,-666666666
58575,0.9635479951397328,29236
58580,0.9863387978142076,41250
58639,0.9228206551915602,32463
58640,0.9436893203883496,36014
58646,0.9538188277087034,30208
58652,0.9379474940334128,38026
58712,1.0,31042
58722,0.9483870967741936,39386
58727,0.9781818181818182,44444
58760,0.9735099337748344,27500
58783,0.9860724233983288,28424
58801,0.8037006474546147,45002
58838,0.9761904761904762,35000
58418,0.9971590909090908,30938
58458,0.9409417398244214,35060
58463,0.985007496251874,26569
58482,0.9853862212943632,28333
58486,1.0,55000
58544,0.971326164874552,32159
58565,1.0,38125
58262,0.8529411764705882,15938
58266,1.0,42232
58274,0.9441460794844252,37727
58331,0.8913043478260869,20536
58332,0.9778481012658228,49250
58344,0.9442013129102844,31599
58005,0.9778225806451613,51912
58017,0.8805970149253731,31250
58027,0.9697199091597276,31688
58051,0.9781333333333332,48563
58060,0.95016077170418,39519
58068,0.9626666666666668,22348
58069,1.0,48393
58075,0.9081577525661804,29575
58202,0.8842350203606748,4726
58210,0.9373040752351096,32303
58218,0.956953642384106,45481
58224,0.8461538461538461,50000
58225,0.99581589958159,39102
58241,0.9240506329113924,41823
58276,0.951310861423221,34500
58282,0.8439811701412241,28750
58318,0.9043834914124584,31257
58327,0.958005249343832,34095
58346,0.9879518072289156,33393
58424,1.0,19621
58438,1.0,38250
58460,0.9835164835164836,27386
58461,0.9738903394255874,43224
58467,0.9820971867007672,30588
58488,1.0,26625
58530,0.9289827255278312,36786
58531,0.985645933014354,26618
58558,0.9897330595482546,40761
58563,0.9443048576214406,33235
58566,0.9734513274336284,38750
58348,0.940318302387268,32163
58065,1.0,18393
58076,0.8115501519756839,4333
