zip_code,native_percentage,median_income
87040,1.0,10682
87305,0.9457775007790588,14128
87420,0.9626406108875936,20805
87421,0.8210332103321033,27000
87455,0.9311551925320888,13961
87499,0.8340248962655602,13750
87375,0.987905604719764,18567
88340,0.9358372456964006,17771
87310,0.9565217391304348,17386
87311,0.9635161606268364,17185
87313,0.9522373051784816,16507
87326,0.91301775147929,16967
87328,0.9515177065767284,15123
87052,0.9041287613715884,19272
87072,0.9491778774289984,18409
87312,0.8428246013667426,16250
87316,0.9585635359116024,12317
87319,0.9309831181727904,15542
87323,0.8318804483188045,12794
87327,0.9678960231059764,14371
87045,0.9497455470737912,15569
87007,0.9519607843137254,16149
87325,0.9421221864951768,21266
87357,0.8673602080624188,16060
87364,0.9805068226120858,14706
87026,0.8474327628361858,17433
87037,0.968342644320298,12857
87034,0.969796814936848,22022
87053,0.8483985765124555,16276
87001,0.7859302006045616,18951
87018,0.969439728353141,7391
87049,0.625,27790
87320,1.0,17051
87321,0.6388317564788153,16504
87461,0.9841040462427746,14811
87528,0.8293852227862379,29729
87013,0.8016558675305976,12414
87022,0.9627249357326478,24113
87024,0.8881748071979434,21149
87038,0.9873239436619718,15000
87416,0.8405400117393856,20237
