zip_code,native_percentage,median_income
59043,0.9347826086956522,27882
59448,0.9349269588313412,11034
59521,0.9252114164904862,15930
59213,0.8292383292383292,25217
59022,0.9435918705931148,21083
59031,0.9186602870813396,25179
59855,0.6534526854219949,13261
59526,0.7619229301793209,21424
59255,0.8293809670465044,19280
59524,0.7841530054644809,24659
59527,0.941351888667992,18618
59066,0.7586805555555556,20294
59075,0.7074235807860262,35729
59225,0.6163636363636363,21023
59016,0.8555093555093555,31141
59050,0.8969072164948454,24923
59089,0.7261146496815286,27614
59417,0.9000874235044336,17169
