zip_code,white_percentage,median_income
6470,0.9120753122925592,49417
6472,0.9360869565217392,45190
6480,0.974468998069084,47217
6524,0.8813713041900961,54022
6611,0.8441233676021117,50205
6750,0.9579751671442216,35000
6752,0.920256111757858,46579
6756,0.9479239971850808,49422
6770,0.7881611053015178,39548
6783,0.9703915950334288,55603
6791,0.9679252199413492,43635
6512,0.7712698635916186,33883
6516,0.6326716943921991,30113
6517,0.6525536225808706,42257
6018,0.9363767074047448,28399
6035,0.9446916719643992,48700
6226,0.6810766301271165,16882
6051,0.6376567099996692,23252
6096,0.8362402336042932,38885
6234,0.9219677692960137,32425
6264,0.7129629629629629,48500
6335,0.8877962276317911,50786
6336,0.8682170542635659,-666666666
6365,0.8718058836160618,39830
6373,1.0,35958
6409,0.8348837209302326,-666666666
6423,0.9750651283959808,49626
6424,0.9278876333961078,44806
6442,0.9795134443021768,43819
6447,0.973461055276382,53484
6483,0.8749091349648656,37066
6716,0.9294011435449896,43809
6010,0.8360124879604105,37074
6016,0.7956161997387139,42944
6013,0.9447147737861062,53382
6039,0.9766136576239476,43099
6071,0.8787037865902784,41635
6073,0.9228130360205832,65599
6081,0.8539107950872656,33838
6082,0.8175928233241964,37423
6098,0.9337903360642034,32907
6278,0.9504927801971121,37076
6334,0.9182615629984052,40039
6375,0.9173553719008264,47352
6401,0.7276368491321762,31528
6777,0.919378698224852,51003
6786,0.9263770615500699,42653
6796,0.9794238683127572,52500
6804,0.8845130696275735,46137
6119,0.813927540036755,49628
6247,0.9638868205510052,38045
6260,0.9539185288142842,31233
6281,0.9826011309264898,42071
6282,1.0,46413
6333,0.8322185061315496,51104
6376,1.0,-666666666
6378,0.951734000715052,45179
6782,0.985620377978636,41935
6759,0.9563580352558616,40332
6785,0.875,35000
6812,0.9164457183805088,47070
6855,0.7515222482435597,39320
6906,0.7123539593249676,49302
6026,0.8906485671191554,48667
6032,0.8009955877361693,48166
6037,0.9311529113388988,48989
6043,0.9391162695988596,49172
6057,0.9866150620867602,48921
6067,0.7254561681872272,52692
6084,0.9292462448175084,54423
6089,0.9474193548387096,63750
6090,0.9760479041916168,63688
6109,0.8630163157693629,43549
6242,0.9849683544303798,50625
6249,0.967013167013167,43530
6269,0.8048756798756799,3048
6279,0.8683183437977261,40248
6331,0.9708029197080292,43207
6351,0.9074762234679096,35993
6416,0.8653486700215672,48268
6420,0.8905057251908397,52684
6450,0.7895499077097827,37851
6457,0.7284943346735181,35231
6477,0.8726137505382517,55000
6481,0.98159509202454,46515
6614,0.8193339139313492,41733
6751,0.9306728808622196,44351
6779,0.9362713606578441,34161
6787,0.9837587006960556,37869
6790,0.8929805709639009,32441
6794,0.8745874587458746,35938
6795,0.9165283890051222,41679
6811,0.7010432378079436,40338
6850,0.7201927386822052,47879
6883,0.8837367551278312,70554
6896,0.9563931193163142,61273
6901,0.6026996938491511,54025
6907,0.781031416716064,39549
6417,0.9330357142857144,51028
6443,0.9362336443438416,51255
6451,0.7682489193377375,35704
6455,0.9694507637309068,49544
6460,0.8777689365743474,45000
6807,0.8422943838168752,64964
6820,0.9104498206236776,79123
6897,0.8839841845853871,63331
6469,0.945753033547466,43088
6475,0.952725470763132,42222
6484,0.8954570866046037,44785
6612,0.953380262983132,55522
6712,0.896137516827172,42232
6831,0.8757197696737045,52365
