zip_code,black_percentage,median_income
30828,0.6283316880552814,20591
30665,0.7402597402597403,15625
30038,0.93506099104115,32031
30083,0.7796874179603409,24026
30274,0.7928669027634477,24239
30288,0.6977940336038404,26554
30296,0.851858425929213,28207
30429,0.7559523809523809,18026
30118,0.7208969465648855,2499
31201,0.6204266475986175,14365
31705,0.709816815406294,17537
31743,0.9037900874635568,12607
31821,0.8801498127340824,18937
31415,0.9320173642394954,18892
31044,0.6222714330907939,27438
31719,0.6820495794599379,20059
31903,0.7842874679165271,16767
31827,0.7456700091157703,21200
31906,0.6612118531623176,20441
31042,0.6144156752974108,24125
31907,0.6743146962927182,22095
31087,0.7250259845247721,21615
31068,0.7333458434978422,22386
31601,0.6029349282609406,18886
31701,0.7675276752767528,18157
31041,0.6340288924558587,14519
30354,0.6963010204081632,24453
30434,0.6711686362783718,18380
30448,0.65,39750
30294,0.8592175877977591,30060
30344,0.7643010094830224,27494
30477,0.7051693404634581,19675
30807,0.7228915662650602,32500
30901,0.8274574611335537,14805
30013,0.6677085294671437,35316
30087,0.6597281867326833,37670
30236,0.6231371706478642,27834
30310,0.8724183644990232,22529
30336,0.8832116788321168,-666666666
30337,0.8006016330038677,23982
30906,0.6643627640121458,20297
30034,0.939091869935548,28592
30039,0.6190924693373521,33708
30315,0.8123381612269869,19289
30631,0.6056685150955021,19693
30058,0.9294739836990176,28587
30213,0.7909567883039557,31515
30291,0.8596977679190351,25781
30331,0.9672957484472982,30095
30035,0.9222322697325926,26586
30088,0.9171644763042612,24993
30168,0.6415145525714064,27098
30238,0.7444478559001125,26503
30032,0.8340975406419341,22726
30311,0.9470719173376568,19789
30314,0.8685833266597262,15144
30349,0.9117442016356079,30323
39813,0.6060759493670886,26688
39840,0.6842204250517209,16559
39842,0.6320463320463321,19515
39851,0.7176025917926566,16368
39866,0.6361556064073226,15066
39867,0.6057494866529775,13895
30664,0.7894736842105263,40208
30079,0.6493833375283161,22115
31204,0.6310767680161263,20040
31217,0.6393472458141228,18415
31810,0.7924528301886793,17054
31707,0.6080692777012399,26048
31323,0.7128082736674622,22162
31404,0.7005119453924915,20864
31206,0.8058437595361612,17984
