zip_code,black_percentage,median_income
28119,0.6039314094521121,21665
27890,0.8111731843575419,18527
27110,0.757253029746603,3205
27556,0.6344537815126049,23636
27861,1.0,25625
27536,0.6556107008836702,19407
27874,0.6236643210841804,24409
28007,0.8958333333333334,20938
27922,0.61863173216885,20886
27878,0.7178484107579463,20316
28501,0.6386450596443844,17784
28433,0.6704284621270085,17494
27401,0.6768428253805369,14239
27826,0.6103896103896104,7222
27827,0.8813559322033898,10417
27849,0.822139303482587,22547
27553,0.6711926605504587,16952
27843,0.6144349477682811,19063
27839,0.6039091693015234,19149
27869,0.6228739002932552,16376
28108,0.85,32708
28424,0.625,-666666666
27831,0.7971014492753623,20498
27841,0.8125,13750
27872,0.7065420560747664,18141
27847,0.7349768875192604,16003
27876,0.6444991789819376,26455
28208,0.6692235130572932,22265
27105,0.6034035979468779,20782
27260,0.6167026073318957,17326
27855,0.6124299373557534,17426
27983,0.6062103034580099,16687
27610,0.6422976827986587,26428
27857,0.6750241080038573,23609
27910,0.6535796766743649,22613
27986,0.609229466553768,19591
27801,0.7290804884126588,20582
27823,0.8128301886792453,16826
27891,0.6733518665607625,21515
28206,0.7073778664007976,21824
28301,0.7368421052631579,16469
28216,0.6584284539308712,31410
