zip_code,black_percentage,median_income
36471,0.6615044247787609,17017
36476,1.0,2499
36703,0.7644465073102809,16171
36736,0.8407838334353951,36700
36740,0.6818181818181818,17167
36751,0.9303797468354429,18378
36754,0.9577167019027484,56955
36850,0.7331546707503829,16159
36032,0.810064935064935,16981
36435,0.8729729729729729,17908
36612,0.9561175961954173,16325
36728,0.7009345794392523,14655
36738,0.6796657381615598,11267
36767,0.8672086720867209,14173
36768,0.6766666666666666,14402
36907,0.7025673137132122,14773
36482,0.6334661354581673,20010
36538,0.649867374005305,11798
36618,0.6162865309455755,25857
36720,0.9698857736240912,13194
36773,0.7014925373134329,22500
36775,0.8965853658536586,22149
36786,0.8265966046887632,12608
36053,0.8920323325635104,21977
36075,0.7379464285714286,22992
36088,0.9730951356005164,7996
36040,0.8641367323290846,16302
36083,0.8850464734827774,21704
36110,0.7718292995809458,16542
36373,0.7425287356321839,16406
36860,0.8020833333333334,19351
36912,0.8956017399710005,17180
36922,0.7183333333333334,-666666666
36481,0.8081264108352144,10750
36038,0.6590909090909091,12188
36616,1.0,-666666666
36753,1.0,-666666666
36859,1.0,-666666666
36865,0.7,26429
36108,0.8456447963800905,15659
36603,0.8115577889447236,17292
36605,0.7255589653660676,21285
36744,0.646329837940896,17115
36761,0.8094027954256671,14694
36765,0.8071216617210683,11728
36785,0.7811918063314711,19057
36425,0.7722488038277512,19167
36759,0.6373566357181868,20099
36916,0.6624843161856964,18262
35061,0.9495575221238938,15932
35089,0.6064483111566018,20550
35112,0.8683274021352313,-666666666
35211,0.8333400687007476,21561
35214,0.7794704592725842,28692
35470,0.6162117452440034,14593
35064,0.9144641564083996,24232
35119,1.0,15375
35228,0.8524704244954767,19526
35462,0.7735552057566899,18415
35020,0.7481461350312536,16535
35221,0.9556199821587869,20955
35224,0.6576576576576577,20048
35477,1.0,9734
35459,0.6565743944636678,15747
35460,0.950836820083682,17388
35215,0.7469597370583402,26503
35442,0.6567607726597325,15768
35206,0.6807994128606109,18985
35218,0.9600552868002764,19329
35469,0.7331189710610932,-666666666
35618,0.6269487750556793,19309
35810,0.7281205164992827,21514
35816,0.6418295039725145,16206
35615,1.0,-666666666
35896,0.9154727793696276,2499
35208,0.929368029739777,18266
35212,0.7195219123505976,20964
35234,0.8668773454473632,14072
35204,0.9103865255884258,15821
35207,0.9471021159153634,16972
35217,0.6041792395896198,19010
35443,0.8829487900956668,13713
35464,0.7412177985948478,11473
36401,0.6195342820181112,20691
36039,0.8793103448275862,18182
36901,0.8699186991869918,15744
36089,0.7804624577812419,20776
36104,0.774010632014176,13819
36105,0.8836119689063997,18244
36116,0.7701107515610045,26136
36610,0.9812639821029084,16385
36701,0.6771086681583811,23496
36726,0.6529961750956226,18980
36756,0.6449633543548662,19327
36047,0.6559040590405905,18527
36925,0.8360546484505165,14925
36031,1.0,17578
36617,0.9391252066736808,20283
36723,1.0,15720
36776,0.8653017241379308,14802
36790,0.7528089887640449,-666666666
