zip_code,latino_percentage,non_white_latino_percentage,median_income
93270,0.7907583379914291,0.35606484069312466,15206
93304,0.648742746615087,0.27692151074009974,21399
93306,0.6467349197565024,0.11906474820143875,25490
93307,0.7869564215957251,0.18517366869356922,20701
90716,0.8,0.6406720336016801,22660
90744,0.8881856540084389,0.39395218002812943,22191
93454,0.6904583016861195,0.0858629316821623,26380
93458,0.8656909319547297,0.11469540310185833,23699
93591,0.6268782683303378,0.30659357082144095,22753
93609,0.680494617523785,0.3185089115164449,18551
93616,0.8582494190549961,0.2339271882261812,14646
93618,0.8202097235462346,0.21499841118525587,22520
93552,0.7090088961283048,0.3765192331787997,26147
93608,0.98515625,0.39531249999999996,20511
93701,0.7115876450914814,0.21837497540822348,13995
93728,0.6392542536502956,0.18239411125859778,20702
93925,0.929570670525808,0.5740472744814279,21738
93638,0.8231795241528479,0.3217175358487543,19431
93660,0.9606356968215158,0.29975550122249384,18698
93673,0.8885941644562334,0.13793103448275856,16076
93930,0.812913810277143,0.4861428487724849,21891
93030,0.7574886173017014,0.13335729690869869,25812
93040,0.8866995073891626,0.16420361247947457,20179
93212,0.6971785760157555,0.2183071456094533,16578
93218,0.8932261768082663,0.15729047072330649,14406
93261,0.9942481511914544,0.323746918652424,10700
93263,0.8244934714092751,0.155065285907249,21507
93267,0.7769593400117855,0.34516794342958157,13750
93274,0.6442567567567568,0.13282432432432434,27138
93621,0.6029411764705882,0.0,-666666666
93627,1.0,1.0,9094
95387,0.9119496855345912,0.0,21500
90017,0.6219745337806154,0.3466075100097392,21900
90241,0.7530718500520652,0.2671988892745574,31635
90270,0.9835452779711951,0.2567156521420456,21072
90670,0.7467065868263473,0.40257485029940115,30845
90813,0.6495546420006851,0.2583247687564234,20714
90001,0.9011565717341891,0.48878526540981415,20844
90061,0.6700749829584185,0.2285006996017651,20620
90660,0.9067316391803305,0.43718353676925764,27307
90723,0.8097884908187037,0.3931355823381578,23567
90022,0.9592025546900648,0.4633210970841914,22061
90037,0.7999852158486103,0.36989946777054994,19674
90057,0.6952464507895996,0.4196642207688626,19050
90221,0.7635427952329361,0.3975003869370067,22964
