zip_code,black_percentage,median_income
19141,0.8266620558485346,21494
19121,0.7482167670217693,14875
19131,0.8070344118238938,23261
19144,0.7647434144562939,23403
15443,0.9504950495049505,-666666666
19153,0.7145163770567431,26421
19138,0.9237624366721602,21937
19139,0.8797336034657414,19596
19079,0.769272470996422,28625
19126,0.8293944813490036,25723
19132,0.922780291924278,17121
18349,0.6730769230769231,-666666666
19150,0.9420601820709448,29290
19050,0.6679296539891335,32589
19013,0.6961917231172084,19012
19023,0.721749366171677,26999
19142,0.8322443084118578,19786
19143,0.7935478879777194,23743
19151,0.8922712413400113,30176
