zip_code,black_percentage,median_income
37207,0.6652589520534089,26096
37208,0.6682027649769585,25076
37410,0.8819388031410778,19017
38106,0.958934050691438,17364
38115,0.8398496619917264,23866
37915,0.6230007616146229,16650
37218,0.7148400228993067,24705
38036,0.6212121212121212,14178
38108,0.6059230681947123,15908
38118,0.7737694035947712,20943
38107,0.7866193613786112,18647
38391,0.6853281853281853,23531
38127,0.8408067585758715,19336
38116,0.9303774186428624,24136
38126,0.9598672776109971,12156
38105,0.7819103972950127,18677
38039,0.7899013348810214,17672
38125,0.7586215939786526,35888
37406,0.7645468772229336,20426
38109,0.9646857117409988,19752
38114,0.934285938604067,17774
38128,0.7992581569420074,23519
38141,0.8278727964655964,30057
