zip_code,black_percentage,median_income
39772,0.6265560165975104,14515
39756,0.8432055749128919,19404
39046,0.6475718254386891,25504
39066,0.6697268248992387,21709
39079,0.7037470725995316,14808
39083,0.6527877975883747,22154
39166,0.71280276816609,11455
39194,0.6369317926352233,18735
39203,0.9443682365493064,14081
39213,0.978572484114083,18648
39739,0.720682302771855,16061
39063,0.8417377812257564,15946
39086,0.9636468551644548,12033
39150,0.8438500659257864,17179
39209,0.9387837887671941,17720
39054,0.9717647058823531,11477
39169,0.9442929489676666,13942
39212,0.8831929046563193,25444
39338,0.6562285714285714,21121
39421,0.7310714285714286,21667
39360,0.6487688098495212,22949
39669,0.7349578256794752,16660
39439,0.6705855754013114,21178
39440,0.6304554079696395,22522
39045,0.8512599877074369,22201
39113,0.7922705314009661,10208
39204,0.9089405928900436,17289
39307,0.6806638906808985,17516
39366,0.7004444444444444,17385
39563,0.6980150174708201,20696
38950,0.7695560253699789,12955
39631,0.6624341901517498,17490
39648,0.6393239492466296,18257
39096,0.9364044027721158,14486
39115,1.0,30446
39144,0.6815476190476191,18929
39159,0.7062579821200511,20565
39206,0.8623535236837762,24567
39041,0.7919182535996284,19970
39078,0.6824817518248175,15905
39348,0.7818532818532818,17531
39358,0.6420047732696897,17933
39362,0.6349252013808976,25629
39149,0.6909361069836553,17115
39328,0.7187013996889581,17894
39341,0.7209233936185855,18496
39361,0.7615988579586009,16966
38639,1.0,15129
38645,0.6329501915708812,23856
38644,0.8473684210526315,15446
38765,1.0,10139
38768,0.7796610169491526,-666666666
38962,1.0,-666666666
38647,0.6962025316455697,26414
38664,0.7818671454219029,24538
38676,0.8190997775115523,18596
38754,0.7129557796741658,15968
38761,0.7302939923306349,16515
38778,0.6733333333333333,16025
38670,0.8577728776185226,18989
38703,0.8753507014028056,16646
38725,0.7449494949494949,16941
38726,0.9125475285171104,15000
38760,0.8797814207650273,17992
38772,1.0,14167
38773,0.7858844550327576,18080
38860,0.6117157490396927,22661
38614,0.7788008084437458,17177
38617,0.8805755395683453,19318
38740,0.6322580645161291,13750
38721,0.63347022587269,29191
38751,0.7807465997877882,18341
38771,0.7752663868259606,19545
38879,0.7519083969465649,17292
38921,0.6059882837925797,22062
38946,1.0,14375
38774,0.961344537815126,19301
38930,0.7213478353593517,19590
38943,0.7532894736842105,43100
38966,0.8583783783783784,13050
39474,0.6610549943883277,15572
39736,0.8384279475982532,17813
39174,0.9914320685434516,21781
39175,0.6335418114431318,21797
39179,0.7600286532951289,25925
39638,0.6398133748055987,19810
39656,0.7065026362038664,22243
39743,0.857245337159254,26369
39701,0.647010340176832,20352
39095,0.7991291727140784,18562
39038,0.7832719621251972,15715
39352,0.6426914153132249,24784
39069,0.9011342155009452,15121
39097,0.8983308042488619,14573
39146,0.9174272055627988,17992
39217,0.9009508716323296,3977
39272,0.7321442419542459,38634
39342,0.6664345403899722,22359
38621,0.7504187604690117,19811
38623,0.7948717948717948,13047
38630,1.0,38779
38631,0.970209884901828,16736
38701,0.6769367369589345,19247
38737,0.7694514162782359,16992
38745,0.9901477832512317,9608
38746,0.7996031746031746,12394
38924,0.8536585365853658,12829
38928,1.0,9574
38941,0.8424384525205159,15199
38646,0.7145390070921985,20274
38762,0.9935535858178888,17167
38635,0.7347130761994356,22624
38722,0.9239904988123516,14412
38748,0.6065573770491803,21367
38756,0.6057769888655801,21988
38769,0.9072222222222224,11836
38643,0.7722666666666667,13333
38738,0.7195025138925641,16103
38731,0.9390243902439024,13284
38749,0.7323943661971831,8587
38781,1.0,10709
