zip_code,native_percentage,median_income
57339,0.9342969776609724,12941
57572,0.9794794794794794,13433
57625,0.8902634593356242,22364
57636,0.7282051282051282,26346
57548,0.9347553324968632,15833
57555,0.8331780055917987,24184
57621,0.9480519480519479,11458
57622,0.8969849246231156,10000
57642,0.8024628014366342,22134
57652,0.9494736842105264,16181
57756,1.0,-666666666
57794,1.0,5724
57639,0.9712793733681462,9196
57361,0.9083333333333332,17188
57563,0.915841584158416,20357
57570,0.9353059177532598,12184
57577,0.8879954049396899,11250
57623,0.6535714285714286,27596
57661,0.8672566371681416,21500
57714,0.9574468085106383,12396
57716,0.9365384615384617,29023
57752,0.9189914163090128,18075
57770,0.930537772087068,17119
57772,0.8797441364605544,9115
57658,0.9275,17875
57566,0.9148089171974524,14353
57560,0.7901960784313725,10789
57257,0.6448863636363636,17847
57764,0.956427955133736,12233
