zip_code,black_percentage,median_income
63134,0.6650612959719789,24271
63138,0.7864040381872051,23981
64130,0.8769955379276153,21506
64128,0.80758189800743,19630
64134,0.6285369740298893,27503
64132,0.7427143460509644,21747
63133,0.8885268160217243,16090
63137,0.7983778673433846,22712
63106,0.9272402108433736,17222
63112,0.6821076359537898,24835
63135,0.6495322939866369,24763
63107,0.9038045827929096,16887
63113,0.9520241171403964,20020
63120,0.9675576879140964,17042
63147,0.9314087258519644,20685
63033,0.6531355772846935,31242
63034,0.6140768634400265,39603
63121,0.8198718220788591,22323
63140,0.6666666666666666,17788
63115,0.9832862789384528,17038
63136,0.8891442476679735,21502
