zip_code,white_percentage,median_income
77831,0.9295375904372444,26561
77840,0.7365717269373937,11317
77969,0.9065040650406504,30909
77990,0.9630086313193588,27672
77018,0.8254986007297459,48211
77029,0.7348293121871661,21709
77044,0.6192116106020539,41869
77059,0.7504926393879681,59181
77062,0.7300676058465838,42449
77075,0.6227283958937035,25772
77950,0.9058823529411764,31042
77957,0.8342301087578706,25155
77975,0.8570540708514606,31192
77979,0.8515851752623353,27419
77988,0.9892665474060824,25469
77482,0.6593591905564924,24278
77484,0.8145287356321839,28326
77486,0.8237885462555066,32050
77506,0.9354056494260288,22347
77518,0.8724207811348563,24815
77520,0.7274681753889675,25320
77532,0.7967493241664719,36352
77533,0.9701492537313432,23784
77541,0.7415766564565532,27257
77561,1.0,46786
77565,0.8247398843930636,35747
77577,0.9318028359216746,39688
77586,0.9044704630122404,47935
77598,0.6925170068027211,30338
77612,0.9603528911564626,28827
77619,0.8618950325628911,30008
77024,0.7907567426027756,64811
77046,0.7431648715824358,61892
77049,0.6653400669704123,31520
77076,0.87089338776417,21702
77079,0.7207959674110545,50427
77087,0.6833394921606926,21296
75421,0.7747747747747747,41333
75453,0.9123440577806958,30708
75474,0.8973829659718985,21958
75477,0.8444632290786137,25556
75492,0.9824561403508772,28167
75561,0.8651548896537761,26996
75565,0.9854368932038836,27115
75572,0.797741273100616,24918
75605,0.7950886856168651,32940
75639,0.7006151742993848,20928
75684,0.8014948061819103,24323
75692,0.7385591300407793,26080
75708,0.8877630553390491,20970
75750,0.8340414232607541,33076
75778,0.9172039362063116,25751
75051,0.7314224274857659,24127
75856,1.0,26382
75028,0.8115638858672914,56294
75041,0.7892487046632124,25919
75056,0.7001023879512501,47040
75076,0.9459293771456596,26909
75102,0.8460972017673049,26728
75082,0.6405910658774433,57859
75093,0.7010985722834915,57470
75103,0.9320715760495526,29430
75116,0.6279760406704585,27268
75117,0.9201807228915664,28279
75126,0.7735521669014228,44518
79765,0.7842411743297343,51508
79109,0.8573991031390135,32105
79225,0.8774555659494855,20711
79226,0.9000349528137015,24315
79227,0.825652841781874,21615
79234,1.0,36042
79248,0.6958667489204194,19594
79251,1.0,-666666666
79256,0.9448275862068966,30417
79257,0.8844282238442822,23026
79261,0.8567567567567568,20185
79336,0.8689056166763173,25562
79339,0.8662535892398368,22600
79344,0.8695652173913043,36538
79781,0.9505703422053232,28000
79785,0.9586776859504132,33125
79831,1.0,-666666666
79843,0.9206026058631922,22619
79124,0.8972727272727272,47974
79062,1.0,38977
79091,1.0,25375
79237,0.988009592326139,20761
79244,0.8390804597701149,22818
79346,0.8948314606741573,25845
79351,0.9073550212164072,29688
79749,1.0,34375
79755,0.7580645161290323,32981
79764,0.8182392206386433,30354
79788,0.9167883211678832,24375
79789,0.9927184466019418,34886
79849,0.6528748868964382,16810
79782,0.7716255281298644,32693
79010,0.9197802197802196,19634
79036,0.8715277777777778,26231
79355,0.9632392115077252,25455
79356,0.839470558289496,22490
79363,0.9223318069742868,35732
79376,1.0,-666666666
79414,0.7888527040734611,26823
77095,0.6331550953431788,43679
77448,1.0,-666666666
77455,0.9302643573381952,27010
77470,0.7593582887700535,22035
77564,0.9894067796610171,30375
75754,0.9542779538252604,24667
75763,0.8783416039699056,25528
75006,0.7756864567600016,33078
75019,0.6663169184853572,61847
75021,0.8880976602238047,24972
75160,0.7344955925563174,25035
75201,0.7550354772259098,65005
75212,0.6367140718562875,20029
75246,0.7061594202898551,20846
75413,0.9078014184397164,30536
75417,0.972470238095238,20594
75423,0.9266881028938908,31676
75436,0.8370967741935483,26875
75439,0.9371980676328504,31563
75457,0.8455622211967391,29137
75002,0.7365584606963917,40772
75023,0.7106541611310504,40644
75042,0.6819794298547839,25042
75075,0.770655382284565,39011
75114,0.913457314394494,32047
75135,0.9028928425913352,35457
75143,0.935079255685734,24906
75144,0.6589422028353326,22323
75152,0.8669874879692011,31590
75163,0.9061119293078056,20581
75165,0.8102265918018597,32451
75173,0.8768428215014743,34039
75182,0.6245059288537549,56732
75204,0.7187346497691325,54971
75217,0.7093188878795016,24112
75220,0.8900473708014949,26443
75224,0.6575069163651841,23846
75238,0.6870404550818482,39116
75422,0.8636658031088082,27015
75428,0.6330138070530297,15296
75433,0.929131054131054,28774
75226,0.7265778554269491,29049
75969,0.8827192527244422,27645
75125,0.8488776478027189,29820
75227,0.6669281089379882,25464
75132,0.8691468890314304,48286
75149,0.6550741062100472,26054
75150,0.6551729821496267,30181
75202,0.6725778546712803,64261
75205,0.8813763717490051,56262
75214,0.8644612910636342,54263
75251,0.6689968542467669,44068
75562,0.6538461538461539,-666666666
75570,0.6812392737783398,26670
75601,0.7457853553025001,25414
75651,0.8928571428571429,28221
75654,0.816566645609602,26034
75704,0.7723306206490832,19928
75756,0.9465168539325842,30757
75757,0.8935322605842837,31871
75760,0.8925459825750242,29609
75765,0.8172418611149923,25398
75771,0.8980290943219146,31137
75773,0.8879019486332025,22454
75790,0.9073498964803312,28233
75831,0.8934707903780069,25991
77904,0.8700446776824339,36820
77951,0.9115533443891652,16956
77954,0.6186617877679038,27171
77973,1.0,-666666666
77983,0.9271393643031784,22284
77354,0.8308597333909008,36842
77358,0.8088050314465409,26050
77363,0.9193831055029792,25242
77369,1.0,32862
77380,0.8091688987228757,41728
77401,0.7274932892835021,80285
77412,1.0,25417
77430,0.9850818094321464,45213
77433,0.6390129830018642,52046
77442,0.6204819277108434,26146
77457,0.9733606557377048,19797
77458,0.8714285714285714,25789
77461,0.8346291604787279,30874
77467,1.0,-666666666
77471,0.7406823255362516,26842
77483,1.0,-666666666
77504,0.8303278031578104,25923
77566,0.8777347465688273,42603
77575,0.7144041696280502,32932
77611,0.9806481697365352,35586
76701,0.7715039577836411,20239
76712,0.8461508325171401,38645
76823,0.9335317460317459,24893
76859,0.8069478908188585,22261
76861,0.9706940874035992,34676
76864,0.9866017052375152,20924
76884,0.991304347826087,21719
76888,1.0,21641
76936,0.6211867247737177,26524
76065,0.8921002965758965,42825
76067,0.8961544142990793,22778
76660,0.8591800356506238,20833
76667,0.7030095512704992,23330
76708,0.7841510513517379,25988
76854,1.0,25054
76869,1.0,26111
76870,0.9666666666666668,26583
75414,0.9276932084309132,31005
