zip_code,latino_percentage,non_white_latino_percentage,median_income
77837,1.8276612511354096e+148,1.8276612511354096e+148,21039
77969,7.255919447772904e+158,7.255919447772904e+158,30909
77990,4.7064369283132955e+177,4.7064369283132955e+177,27672
77029,0.7272369383049322,0.061920026995107125,21709
77075,0.6752701215266078,0.1291641395421974,25772
77085,0.6120838196876216,0.12656328164082042,26106
77506,0.8989810395975751,0.042744743970076104,22347
77036,0.6177758083575035,0.29142496508754967,21356
77049,0.6383323269473569,0.07591809847944231,31520
77061,0.6341370510036948,0.23547785015045897,24946
77076,0.8821683468021884,0.05998500374906279,21702
77080,0.6910454964243408,0.48514894923880136,26104
77087,0.814416935015573,0.16861109644723637,21296
75051,0.7024411700021993,0.10964494294162208,24127
75060,0.6479566200485721,0.28582195795996984,25366
75041,0.6386658031088083,0.09857512953367875,25919
79785,0.6942148760330579,0.0,33125
79843,0.621742671009772,0.023615635179153105,22619
79346,0.6130337078651685,0.05662921348314609,25845
79764,0.6620061338625293,0.13873353779541764,30354
79849,0.9870033725425681,0.34432837048613973,16810
79851,0.7633248730964467,0.32741116751269034,14097
79355,0.630793819925413,0.034629728289824246,25455
77092,0.6544282073950803,0.3814550938686359,24459
75240,0.6163173757622485,0.5382350879652344,26829
75217,0.7041149355674439,0.048988930385922336,24112
75224,0.6411470525643754,0.06144924452011069,23846
75227,0.6262432414391562,0.03988385288031504,25464
77951,0.7136539524599226,0.0,16956
77973,1.0,0.0,-666666666
77471,0.6039745705134427,0.10111132679802004,26842
77504,0.6472709786006251,0.058307285405145404,25923
77454,inf,,-666666666
79013,0.7965726920950802,0.05914870093974578,26201
79731,0.6477367979882649,0.42812238055322716,27440
78572,0.8800635227850772,0.1087827694445479,20533
78582,0.9885545804893904,0.051562427450434156,14644
78592,1.0,0.12130177514792895,15934
78616,0.6362413097106975,0.0968827091276071,27015
79745,0.6524914089347079,0.09292668957617412,27940
79240,0.6049382716049383,0.6049382716049383,-666666666
79752,0.6291041751114714,0.5792460478313741,28673
79772,0.7460973697341222,0.18796778102501965,22106
79323,0.6862934362934363,0.013927192498621066,37060
79359,0.7808264462809917,0.04198347107438016,22230
79347,0.6110802554845877,0.1353790613718412,25665
78801,0.7776889599431566,0.051203481659117145,20893
78005,0.635632183908046,0.02183908045977012,24302
78201,0.8293747672445897,0.06666114950138613,21868
78202,0.6046450711603947,0.24404086265607267,18109
78211,0.9442766028868748,0.13940004272330553,19866
78520,0.9217794847175548,0.03139702352376372,18066
