zip_code,black_percentage,median_income
20607,0.6415198745734575,61939
20623,0.8164831498164832,59786
20899,0.7118644067796609,24375
20720,0.7061512341648165,56393
21216,0.9509592763179696,23130
21206,0.7317762399077278,32066
21218,0.6052780990432132,27249
20616,0.6041634058538112,49836
20744,0.7003732362312244,47351
20747,0.8977373777294734,36849
20772,0.7958782904172459,54711
20748,0.8587548838165742,39126
21223,0.7315112540192926,16838
21239,0.7885879568761504,32008
20745,0.6911119107592659,34707
20716,0.6287268966137518,52521
20721,0.8550958627648839,57440
20735,0.8242804814233385,47675
20743,0.8600084459459459,35638
20613,0.6741084165477889,53634
20708,0.6577954961749811,39089
20710,0.6699466136292265,28605
20746,0.8233423320143486,38513
20774,0.8806954309339553,53739
20785,0.757652142599928,35439
20706,0.6853904282115869,36727
20769,0.666988106718097,58061
21215,0.7951718339824648,23227
21229,0.7726530345593521,28494
21244,0.7258888827828763,38255
21133,0.8210757079792186,36348
21213,0.8764472538459057,24677
21217,0.8524551182974676,21065
21207,0.8255238173187099,32187
21251,0.6507772020725389,2889
21705,1.0,-666666666
21746,0.6040558510638298,2499
21890,0.6690340909090909,6976
21205,0.6807685202290782,21599
