zip_code,native_percentage,median_income
85371,0.6068965517241379,21296
86031,0.9725870930896632,14435
86034,0.9637223974763408,16943
86030,0.967741935483871,17284
86540,0.9919642857142856,12340
86511,0.9690217391304348,25821
86044,0.9851500789889416,12864
86506,0.9810426540284359,18417
86043,0.9961267605633802,18196
85264,0.6594795539033457,31700
85550,0.9135331170070624,19310
86507,1.0,17674
86545,0.9714091218515998,17196
86508,0.9745508982035928,13182
86510,0.9542993285683344,13327
86512,0.9425905992106208,20597
86520,0.990909090909091,14242
86535,0.9964054636951832,15089
86544,0.9824024483550114,22353
86042,0.9019607843137256,19753
86053,0.9952885747938752,19787
86434,0.9067743940335612,21250
86505,0.9677700348432056,18595
86514,0.9610190300798036,17838
86515,0.9254293107504116,20050
86538,0.9572602739726028,17661
86502,0.9077625570776257,16162
86503,0.9604363098539472,16365
86504,0.9269545896403276,20889
86039,0.9745547073791349,24451
86016,1.0,18333
86033,0.9492373398413668,17958
86045,0.9660668380462724,20792
86054,0.9660556687033266,19458
86035,0.9618823529411764,18310
86040,0.6613205777527669,26244
86547,0.9957446808510638,15465
86556,0.8842512908777969,15078
86003,0.8846153846153846,12143
86020,0.9923273657289002,15814
85256,0.8221286246557591,16870
85911,0.9710276143051154,8993
85930,0.9613343442001516,21687
85941,0.958759221402542,17021
85147,0.8498902305159166,16589
85542,0.8791891891891892,17304
85530,0.9356295878035008,17940
85121,0.9599733155436958,16683
85634,0.932105343279038,17288
85926,0.9572446555819476,29000
