zip_code,black_percentage,median_income
29458,0.6453566621803499,17821
29203,0.8134162594402488,19007
29061,0.6605453917846048,28463
29452,0.7015306122448979,35529
29525,0.6262434864992894,19745
29943,0.603112840466926,22365
29405,0.6376009073320436,21811
29426,0.6533406352683461,21020
29003,0.6078703703703704,20363
29051,0.7226027397260274,25679
29018,0.6317757009345795,22377
29052,0.9928263988522238,18202
29079,1.0,-666666666
29010,0.6318946842192967,19927
29031,0.7974683544303798,20893
29048,0.6003875968992248,19938
29062,0.7522123893805309,-666666666
29065,0.7817460317460317,30951
29826,0.9047619047619048,16780
29133,0.6971080669710806,19833
29564,0.9227683049147444,20000
29921,0.702247191011236,20000
29934,0.8326693227091634,35326
29592,0.8335588633288228,9840
29556,0.7469632164242943,20064
29590,0.7105719237435009,19038
29560,0.6212649217765256,20162
29827,0.6380697050938338,22809
29922,0.7717889908256881,21660
29932,0.6180555555555556,19200
29042,0.8024026512013256,14849
29056,0.6338028169014085,23795
29059,0.6416651713619236,20077
29918,0.7081235313863713,16221
29163,0.8687759336099585,15855
29180,0.6180854112926341,22585
29015,0.8524271844660194,27698
29115,0.7363819529394834,19302
29446,0.6273115220483642,24000
29468,0.6355029585798817,22375
29836,0.6480582524271845,14703
29104,0.7469335054874112,21446
29128,0.670987418985894,22106
29923,0.9936507936507936,16364
29945,0.8141843971631205,19271
29479,0.6642619311875694,21619
29506,0.6655405405405406,19636
29519,0.6962305986696231,19837
29571,0.6157225902392862,20684
29580,0.8275340393343419,18075
29810,0.8650990099009901,19267
29840,0.9098712446351932,16275
29939,0.7806004618937644,25802
29046,1.0,16450
29044,0.6673251028806584,20446
29117,0.8766859344894027,3620
29899,0.6509695290858726,2499
29080,0.7198707592891761,16651
29146,0.6148055207026348,21691
29118,0.6231734571084752,26919
